rating,title,text,timestamp,helpful_vote,verified_purchase,cleaned_title,cleaned_text,combined_text,sentiment,year,Topic
4.0,Looks lik it will hold up,Fits nice jus wish the rubber was raised more on the front if dropped face down,2020-01-28 14:46:06,0,True,look lik hold,fit nice jus wish rubber raised front dropped face,look lik hold fit nice jus wish rubber raised front dropped face,positive,2020,Phone Holder
5.0,Galaxy S5 Case,"Very attractive case, Samsung S5 900A fits securely and won't fall out.  The stylus is great..",2016-11-26 14:22:51,0,True,galaxy s5 case,attractive case samsung s5 900a fit securely wont fall stylus great,galaxy s5 case attractive case samsung s5 900a fit securely wont fall stylus great,positive,2016,Phone Case
5.0,Worth the money,"I like that the case has a clear holder inside, most of them are black. It fits the lg stylo 4 well and the card holder has a material similar to a plastic screen that is more sturdy than the clear thin plastic my old one had. This case is worth the price i wish it came in more colors. Where i live this case is sold for twice the price i paid. I am happy with my purchase.",2019-04-22 09:59:24,0,True,worth money,like case clear holder inside black fit lg stylo 4 well card holder material similar plastic screen sturdy clear thin plastic old one case worth price wish came color live case sold twice price paid happy purchase,worth money like case clear holder inside black fit lg stylo 4 well card holder material similar plastic screen sturdy clear thin plastic old one case worth price wish came color live case sold twice price paid happy purchase,positive,2019,Phone Holder
5.0,Great quality,Nice and sturdy plus perfect length. I recommend.,2020-01-21 02:00:06,0,True,great quality,nice sturdy plus perfect length recommend,great quality nice sturdy plus perfect length recommend,positive,2020,Electric Stove
5.0,My fourth one.,"Over the years I have progressed to newer phones.  Each time I come back for this case. I now have it in different colors.  It is exactly what I want.  It does not make the phone bulky, yet it protects it very well.  You can also carry credit cards or money.  It has a hole to put a strap on it, so mine is a wristlet when i want to carry it alone.  The customer service has been great too.  Highly recommend.",2016-05-27 08:31:23,0,True,fourth one,year progressed newer phone time come back case different color exactly want make phone bulky yet protects well also carry credit card money hole put strap mine wristlet want carry alone customer service great highly recommend,fourth one year progressed newer phone time come back case different color exactly want make phone bulky yet protects well also carry credit card money hole put strap mine wristlet want carry alone customer service great highly recommend,positive,2016,Phone Case
5.0,Awesome,Works great . The light does not wake me up,2019-11-27 19:53:24,0,True,awesome,work great light wake,awesome work great light wake,positive,2019,Screen Protector
5.0,Micro usb to usb-C adapters,These are a great way to continue using your micro usb chargers (and to save a little money instead of having to replace ALL your extra chargers) now that most phones are converted or will convert to usb-c plugs.,2020-01-04 16:40:29,0,True,micro usb usbc adapter,great way continue using micro usb charger save little money instead replace extra charger phone converted convert usbc plug,micro usb usbc adapter great way continue using micro usb charger save little money instead replace extra charger phone converted convert usbc plug,positive,2020,Phone Charger
4.0,OtterBox always worth the cost,"I prefer the rubber on the outside like my old Defender, but this OtterBox has the hard plastic on the outside, plus it DOES NOT come with a screen protector like the Defender does. Still, OtterBox is the best way to protect your phone. Everytime I buy a new phone, I buy a new OtterBox. I wouldn't trust any other brand. With the Defender, I NEVER had a broken screen after dropping my last phone probably 30 times in 4 years.",2018-12-14 03:05:17,1,True,otterbox always worth cost,prefer rubber outside like old defender otterbox hard plastic outside plus come screen protector like defender still otterbox best way protect phone everytime buy new phone buy new otterbox wouldnt trust brand defender never broken screen dropping last phone probably 30 time 4 year,otterbox always worth cost prefer rubber outside like old defender otterbox hard plastic outside plus come screen protector like defender still otterbox best way protect phone everytime buy new phone buy new otterbox wouldnt trust brand defender never broken screen dropping last phone probably 30 time 4 year,positive,2018,Screen Protector
5.0,Five Stars,I love that everything I need is in one pocket!,2016-04-11 15:56:39,0,True,five star,love everything need one pocket,five star love everything need one pocket,positive,2016,Phone Holder
5.0,Mini Stylus,These are cute and handy for smart phones and iPads or tablets.,2015-05-30 21:32:09,0,True,mini stylus,cute handy smart phone ipads tablet,mini stylus cute handy smart phone ipads tablet,positive,2015,Phone Holder
2.0,Three Stars,Doesn't have any privacy what so ever. Defeats the purpose of my purchase. Okay so it only lasted for 2 weeks and now has fallen off on its own.,2018-05-28 01:55:25,0,True,three star,doesnt privacy ever defeat purpose purchase okay lasted 2 week fallen,three star doesnt privacy ever defeat purpose purchase okay lasted 2 week fallen,positive,2018,Phone Holder
2.0,Cheaply Made,It's not very durable and the only protection (maybe) is the corners. I also hate the big fake ring on the back but it does serve the purpose for what I needed at the time. The plastic covering that makes it shine is already peeling off. I wouldn't recommend this product. It is very cheap if you're not looking to spend any extra money. I thought it covered the phone (by looking at the photos) better than it did.,2022-10-06 13:20:01,0,True,cheaply made,durable protection maybe corner also hate big fake ring back serve purpose needed time plastic covering make shine already peeling wouldnt recommend product cheap youre looking spend extra money thought covered phone looking photo better,cheaply made durable protection maybe corner also hate big fake ring back serve purpose needed time plastic covering make shine already peeling wouldnt recommend product cheap youre looking spend extra money thought covered phone looking photo better,neutral,2022,Phone Case
5.0,Great,"I’ve dropped my phones many times so far and the screen protector has held up including my case. I drop my phone very often and it’s crucial that I have a screen protector and a good case. It came with something that helped you put it on, but I kinda messed it up and I have like dust under my screen which kinda bothers me but it’s my fault and not the screen protectors fault.",2019-06-12 01:42:44,0,True,great,ive dropped phone many time far screen protector held including case drop phone often crucial screen protector good case came something helped put kinda messed like dust screen kinda bother fault screen protector fault,great ive dropped phone many time far screen protector held including case drop phone often crucial screen protector good case came something helped put kinda messed like dust screen kinda bother fault screen protector fault,positive,2019,Screen Protector
4.0,"A couple work great, one plugs in and acts like it's charging ...","A couple work great, one plugs in and acts like it's charging but the battery never gets an increase in how much it was charged. Also love the colors!",2016-02-18 04:47:53,0,True,couple work great one plug act like charging,couple work great one plug act like charging battery never get increase much charged also love color,couple work great one plug act like charging couple work great one plug act like charging battery never get increase much charged also love color,positive,2016,Screen Protector
5.0,Five Stars,EXCELENTE,2017-06-22 21:02:07,0,True,five star,excelente,five star excelente,neutral,2017,Screen Protector
5.0,Awesome!  Great price!  Works well!,Perfect. How pissed am I that I recently paid $20 for 1 Fitbit cable and promptly lost the damned thing?  Extremely pissed!  I keep the spare in my medicine bag so hopefully I won’t lose it and my grandson can’t get to it and try to use it as a belt or a dog leash or any of the other nutty things he’s been using the other one for.,2018-08-16 18:18:37,2,True,awesome great price work well,perfect pissed recently paid 20 1 fitbit cable promptly lost damned thing extremely pissed keep spare medicine bag hopefully wont lose grandson cant get try use belt dog leash nutty thing he using one,awesome great price work well perfect pissed recently paid 20 1 fitbit cable promptly lost damned thing extremely pissed keep spare medicine bag hopefully wont lose grandson cant get try use belt dog leash nutty thing he using one,positive,2018,Screen Protector
1.0,First one faulty,"Would not reliably connect. Replacement is ok, so far.",2023-03-02 19:22:23,0,True,first one faulty,would reliably connect replacement ok far,first one faulty would reliably connect replacement ok far,positive,2023,Phone Holder
